Ville	janvier	février	mars	avril	mai	juin	juillet	aout	septembre	octobre	novembre	décembre	Latitude	Longitude	Amplitude	Moyenne
Bordeaux	5,60	6,60	10,30	12,80	15,80	19,30	20,90	21,00	18,60	13,80	9,10	6,20	44,5	-0,34	15,4	13,33
Brest	6,10	5,80	7,80	9,20	11,60	14,40	15,60	16,00	14,70	12,00	9,00	7,00	48,24	-4,29	10,2	10,77
Clermont	2,60	3,70	7,50	10,30	13,80	17,30	19,40	19,10	16,20	11,20	6,60	3,60	45,47	3,05	16,8	10,94
Grenoble	1,50	3,20	7,70	10,60	14,50	17,80	20,10	19,50	16,70	11,40	6,50	2,30	45,1	5,43	18,6	10,98
Lille	2,40	2,90	6,00	8,90	12,40	15,30	17,10	17,10	14,70	10,40	6,10	3,50	50,38	3,04	14,7	9,73
Lyon	2,10	3,30	7,70	10,90	14,90	18,50	20,70	20,10	16,90	11,40	6,70	3,10	45,45	4,51	18,6	11,36
Marseille	5,50	6,60	10,00	13,00	16,80	20,80	23,30	22,80	19,90	15,00	10,20	6,90	43,18	5,24	17,8	14,23
Montpellier	5,60	6,70	9,90	12,80	16,20	20,10	22,70	22,30	19,30	14,60	10,00	6,50	43,36	3,53	17,1	13,89
Nantes	5,00	5,30	8,40	10,80	13,90	17,20	18,80	18,60	16,40	12,20	8,20	5,50	47,13	-1,33	13,8	11,69
Nice	7,50	8,50	10,80	13,30	16,70	20,10	22,70	22,50	20,30	16,00	11,50	8,20	43,42	7,15	15,2	14,84
Paris	3,40	4,10	7,60	10,70	14,30	17,50	19,10	18,70	16,00	11,40	7,10	4,30	48,52	2,2	15,7	11,18
Rennes	4,80	5,30	7,90	10,10	13,10	16,20	17,90	17,80	15,70	11,60	7,80	5,40	48,05	-1,41	13,1	11,13
Strasbourg	0,40	1,50	5,60	9,80	14,00	17,20	19,00	18,30	15,10	9,50	4,90	1,30	48,35	7,45	18,6	9,72
Toulouse	4,70	5,60	9,20	11,60	14,90	18,70	20,90	20,90	18,30	13,30	8,60	5,50	43,36	1,26	16,2	12,68
Vichy	2,40	3,40	7,10	9,90	13,60	17,10	19,30	18,80	16,00	11,00	6,60	3,40	46,08	3,26	16,9	10,72
