"","masse","masse_sec"
"111",10.9,3
"112",6.6,1.1
"113",22.5,3.4
"114",33.7,6.6
"115",20.6,3.5
"116",16.6,4.3
"117",14.2,2.1
"118",13.8,2.1
"119",14,2.4
"120",8.7,2.2
"121",14.2,3.2
"122",10.6,1.7
"123",10.9,1.6
"124",3.3,0.5
"125",9.7,1.5
"126",9.3,1.9
"127",17.2,2.4
"128",10.1,2.3
"129",9,2.9
"130",7.1,1.5
"131",7.1,1.6
"132",1.5,0.2
"133",4.1,1.4
"134",8,2.2
"135",7.4,1.9
"136",7.2,1.1
"137",6.9,1.3
"138",2.9,0.8
"139",2.4,1.1
"140",10.7,2.3
"141",13.8,3.5
"142",10.9,1.7
"143",10.3,2
"144",8.8,1.7
"145",9,2.5
"146",8.2,1.7
"147",9.6,1.2
"148",9,1.7
"149",5.3,0.9
"150",1.5,0.7
"151",6.7,1.1
"152",2.9,0.6
"153",2.9,1
"154",3.5,1.2
"155",3.4,1.1
"156",4.9,1.5
"157",4.7,1.2
"158",4.7,1.3
"159",5.2,0.9
"160",2.1,0.5
"161",2.2,0.5
"162",1.4,0.6
"163",2.7,0.4
"164",1,0.4
"165",2.5,0.8
"166",5.5,0.9
"167",2.7,0.9
"168",6.7,2
"169",7.3,1.1
"170",2.9,1.3
"171",3.8,1
"172",7.6,2.6
"173",3.6,1.5
"174",3,1
"175",5.8,2
"176",5.3,1.1
"177",3.2,1.5
"178",4.4,1.5
"179",3.4,1.4
"180",2.9,0.9
