"","masse","taille","espece"
"181",4.9,15.3,"laurier rose"
"182",6.2,15.9,"laurier rose"
"183",4,15,"laurier rose"
"184",3.3,11,"laurier rose"
"185",4.8,15.1,"laurier rose"
"186",5.6,15.6,"laurier rose"
"187",4.5,15.3,"laurier rose"
"188",6.3,18.4,"laurier rose"
"189",4.2,14,"laurier rose"
"190",3.9,12.6,"laurier rose"
"191",5.8,16.8,"laurier rose"
"192",4.7,13.6,"laurier rose"
"193",6,15.1,"laurier rose"
"194",6.5,16.7,"laurier rose"
"195",5,15.3,"laurier rose"
"196",5.5,17.1,"laurier rose"
"197",4.7,14.6,"laurier rose"
"198",5.7,15,"laurier rose"
"199",3.6,10.4,"laurier rose"
"200",5.4,16.5,"laurier rose"
"201",5.3,16.6,"laurier rose"
"202",5,15.9,"laurier rose"
"203",4.5,14.4,"laurier rose"
"204",4.4,16.2,"laurier rose"
"205",4.8,15.2,"laurier rose"
"206",4.5,15.8,"laurier rose"
"207",3.2,11,"laurier rose"
"208",4.7,14.1,"laurier rose"
"209",4,13.7,"laurier rose"
"210",5.8,15.4,"laurier rose"
"211",5.5,15.3,"laurier rose"
"212",4.4,13.5,"laurier rose"
"213",3.5,12,"laurier rose"
"214",4.4,14.7,"laurier rose"
"215",4.3,15.5,"laurier rose"
"216",4.1,12.9,"laurier rose"
"217",5.3,15,"laurier rose"
"218",4.7,15.8,"laurier rose"
"219",5.3,13.8,"laurier rose"
"220",4.7,12.8,"laurier rose"
"221",4.9,16,"laurier rose"
"222",4.1,12,"laurier rose"
"223",4.6,14.3,"laurier rose"
"224",4.8,14.5,"laurier rose"
"225",3.4,11.4,"laurier rose"
"226",3.4,13.3,"laurier rose"
"227",5.8,15.5,"laurier rose"
"228",4.8,15.1,"laurier rose"
"229",3.9,12.8,"laurier rose"
"230",3.4,12.7,"laurier rose"
"231",4.5,15.7,"laurier rose"
"232",3.3,13.2,"laurier rose"
"233",3.3,13.4,"laurier rose"
"234",3.6,13.8,"laurier rose"
"235",3.5,11.2,"laurier rose"
"236",3.8,11.4,"laurier rose"
"237",3.2,11.1,"laurier rose"
"238",3.8,14.4,"laurier rose"
"239",5.3,13.4,"laurier rose"
"240",5.8,14.7,"laurier rose"
"241",4.6,14.9,"laurier rose"
"242",3.2,10.5,"laurier rose"
"243",4.3,14.6,"laurier rose"
"244",2.7,11.3,"laurier rose"
"245",2.6,9.1,"laurier rose"
"246",2.4,9,"laurier rose"
"247",2.6,9.4,"laurier rose"
"248",3.2,12.1,"laurier rose"
"249",6.4,16.1,"laurier rose"
"250",3.4,13.2,"laurier rose"
"251",3.4,11.4,"laurier rose"
"252",2.7,11.5,"laurier rose"
